funcid,dim,milestone,error
24,30,1,2.015053e+03
24,30,2,2.015053e+03
24,30,3,2.015053e+03
24,30,5,2.015053e+03
24,30,1,1.476334e+03
24,30,2,1.476334e+03
24,30,3,1.476334e+03
24,30,5,1.476334e+03
24,30,1,1.446815e+03
24,30,2,1.446815e+03
24,30,3,1.446815e+03
24,30,5,1.446815e+03
24,30,1,1.743934e+03
24,30,2,1.743934e+03
24,30,3,1.743934e+03
24,30,5,1.743934e+03
24,30,1,1.613057e+03
24,30,2,1.613057e+03
24,30,3,1.613057e+03
24,30,5,1.613057e+03
24,30,1,1.262353e+03
24,30,2,1.262353e+03
24,30,3,1.262353e+03
24,30,5,1.262353e+03
24,30,1,1.378119e+03
24,30,2,1.378119e+03
24,30,3,1.378119e+03
24,30,5,1.378119e+03
24,30,1,1.206269e+03
24,30,2,1.206269e+03
24,30,3,1.206269e+03
24,30,5,1.206269e+03
24,30,1,1.495220e+03
24,30,2,1.495220e+03
24,30,3,1.495220e+03
24,30,5,1.292193e+03
24,30,1,1.479460e+03
24,30,2,1.479460e+03
24,30,3,1.479460e+03
24,30,5,1.479460e+03
24,30,1,1.374810e+03
24,30,2,1.374810e+03
24,30,3,1.374810e+03
24,30,5,1.374810e+03
24,30,1,1.620249e+03
24,30,2,1.620249e+03
24,30,3,1.620249e+03
24,30,5,1.426888e+03
24,30,1,1.554331e+03
24,30,2,1.554331e+03
24,30,3,1.554331e+03
24,30,5,1.554331e+03
24,30,1,1.516936e+03
24,30,2,1.516936e+03
24,30,3,1.516936e+03
24,30,5,1.516936e+03
24,30,1,1.587468e+03
24,30,2,1.587468e+03
24,30,3,1.587468e+03
24,30,5,1.587468e+03
24,30,1,1.813212e+03
24,30,2,1.813212e+03
24,30,3,1.813212e+03
24,30,5,1.813212e+03
24,30,1,1.134011e+03
24,30,2,1.134011e+03
24,30,3,1.134011e+03
24,30,5,1.134011e+03
24,30,1,1.505908e+03
24,30,2,1.505908e+03
24,30,3,1.505908e+03
24,30,5,1.505908e+03
24,30,1,1.512852e+03
24,30,2,1.512852e+03
24,30,3,1.512852e+03
24,30,5,1.512852e+03
24,30,1,1.317182e+03
24,30,2,1.317182e+03
24,30,3,1.317182e+03
24,30,5,1.317182e+03
24,30,1,1.610309e+03
24,30,2,1.610309e+03
24,30,3,1.610309e+03
24,30,5,1.610309e+03
24,30,1,1.826054e+03
24,30,2,1.826054e+03
24,30,3,1.826054e+03
24,30,5,1.826054e+03
24,30,1,1.278204e+03
24,30,2,1.278204e+03
24,30,3,1.278204e+03
24,30,5,1.278204e+03
24,30,1,1.480933e+03
24,30,2,1.480933e+03
24,30,3,1.480933e+03
24,30,5,1.375543e+03
24,30,1,1.119275e+03
24,30,2,1.119275e+03
24,30,3,1.119275e+03
24,30,5,1.119275e+03
24,30,1,1.401609e+03
24,30,2,1.401609e+03
24,30,3,1.401609e+03
24,30,5,1.401609e+03
24,30,1,1.685147e+03
24,30,2,1.685147e+03
24,30,3,1.685147e+03
24,30,5,1.685147e+03
24,30,1,1.457623e+03
24,30,2,1.457623e+03
24,30,3,1.457623e+03
24,30,5,1.457623e+03
24,30,1,1.706738e+03
24,30,2,1.706738e+03
