funcid,dim,milestone,error
15,30,1,3.512169e+09
15,30,2,3.512169e+09
15,30,3,3.512169e+09
15,30,5,3.512169e+09
15,30,1,5.840856e+09
15,30,2,5.840856e+09
15,30,3,5.840856e+09
15,30,5,5.840856e+09
15,30,1,1.871038e+09
15,30,2,1.871038e+09
15,30,3,1.871038e+09
15,30,5,1.871038e+09
15,30,1,4.965892e+09
15,30,2,4.965892e+09
15,30,3,4.965892e+09
15,30,5,4.965892e+09
15,30,1,3.162428e+09
15,30,2,3.162428e+09
15,30,3,3.162428e+09
15,30,5,3.162428e+09
15,30,1,2.639978e+09
15,30,2,2.639978e+09
15,30,3,2.639978e+09
15,30,5,2.639978e+09
15,30,1,3.923512e+09
15,30,2,3.923512e+09
15,30,3,3.923512e+09
15,30,5,3.923512e+09
15,30,1,5.532977e+09
15,30,2,4.835500e+09
15,30,3,4.835500e+09
15,30,5,8.718745e+08
15,30,1,3.847111e+09
15,30,2,3.847111e+09
15,30,3,3.847111e+09
15,30,5,3.847111e+09
15,30,1,5.672622e+09
15,30,2,5.672622e+09
15,30,3,5.672622e+09
15,30,5,5.672622e+09
15,30,1,6.218161e+09
15,30,2,6.218161e+09
15,30,3,6.218161e+09
15,30,5,4.421157e+09
15,30,1,6.141569e+09
15,30,2,6.141569e+09
15,30,3,6.141569e+09
15,30,5,6.141569e+09
15,30,1,6.677599e+09
15,30,2,6.677599e+09
15,30,3,6.677599e+09
15,30,5,6.677599e+09
15,30,1,2.363555e+09
15,30,2,2.363555e+09
15,30,3,2.363555e+09
15,30,5,2.363555e+09
15,30,1,3.180903e+08
15,30,2,3.180903e+08
15,30,3,3.180903e+08
15,30,5,3.180903e+08
15,30,1,2.139254e+09
15,30,2,2.139254e+09
15,30,3,2.139254e+09
15,30,5,2.139254e+09
15,30,1,2.439034e+09
15,30,2,2.439034e+09
15,30,3,2.439034e+09
15,30,5,2.439034e+09
15,30,1,6.277938e+08
15,30,2,6.277938e+08
15,30,3,6.277938e+08
15,30,5,6.277938e+08
15,30,1,1.161188e+10
15,30,2,1.161188e+10
15,30,3,1.161188e+10
15,30,5,9.686293e+08
15,30,1,4.634850e+09
15,30,2,4.634850e+09
15,30,3,4.634850e+09
15,30,5,4.200594e+09
15,30,1,4.070676e+09
15,30,2,4.070676e+09
15,30,3,4.070676e+09
15,30,5,4.070676e+09
