Run,Fitness
1,19539351.110492464
2,10607144.991209526
3,9868863.872524073
4,767511.615277727
5,2215933.9079477824
6,6464401.076060515
7,10897618.438759735
8,72589373.86329149
9,41799316.1258622
10,32403599.6909904
11,4259149.374708347
12,49767860.5871146
13,31483748.311740406
14,100623853.01044019
15,13711152.190270554
16,49616875.739431836
17,42338709.96714458
18,2699798.390852699
19,50540681.558294035
20,2690782.715543288
21,10328140.202802787
22,34758827.3336218
23,4044575.4409524207
24,9393015.606813647
25,6648491.865128383
26,93257583.82984343
27,10596564.078879079
28,243469781.12064067
29,546467.8773947377
30,93207896.39076284
31,556189.3376716424
32,55312079.50518352
33,12997375.818481717
34,3438744.592633988
35,6091994.941915439
36,18952183.93621751
37,12998235.903539954
38,45939331.04928093
39,8689820.829139931
40,6726963.789190537
41,170359014.4109932
42,49628890.380063176
43,45784535.281179294
44,431548.4034542069
45,15447164.532804426
46,56666929.61644279
47,20078103.00969598
48,3365617.387568297
49,62484533.71301079
50,52487846.91409355
51,6344287.627959487

Best,431548.4034542069
Mean,33645460.02481012
Std,44310552.81056374
