Run,Fitness
1,3224861745.731971
2,1337312401.2075574
3,8335560000.766202
4,4287158930.9313865
5,6238170178.978419
6,1931217.6584371491
7,823489.9642321746
8,306094.9827338613
9,1552126090.078778
10,5256598596.387712
11,67672046.93650912
12,9928621007.711649
13,2127710606.0947409
14,1357940.1595637861
15,2112467030.2642617
16,3098156534.6251397
17,3627672718.7448883
18,3834473142.107543
19,5386223367.626547
20,2513279976.5033264
21,2036050.6746822554
22,999074.4503324741
23,7283961.101432618
24,7347955694.899008
25,2102593.9805727503
26,1676263.888961361
27,844866.0788148512
28,2974895.5240804865
29,1285879291.0346258
30,2940591929.706384
31,8132034906.416163
32,4754987932.814671
33,7840515726.525112
34,3603618690.3287334
35,6503965065.894592
36,587536.7592372854
37,10691930891.53371
38,8506003.247851055
39,1749797.3220537005
40,2351035507.391056
41,2078977780.6480982
42,2473247087.0886016
43,8314827848.393366
44,7199157064.28149
45,427327.34255827795
46,9600760934.51793
47,2081703957.5502863
48,4199504075.5839076
49,11533571449.69027
50,507237.1887038667
51,635439.8437993125

Best,306094.9827338613
Mean,3252883921.5522094
Std,3366304681.764236
