Run,Fitness
1,3388.7542638050854
2,3359.0015983948633
3,3660.040934120708
4,5169.589653202952
5,3486.8892345943805
6,3617.5844974254796
7,3496.088307469937
8,3580.803191552451
9,3711.521595411535
10,3333.0956803752692
11,3353.5039151496244
12,3941.1011369688076
13,3380.6512865086693
14,3449.834550445603
15,3358.207356971491
16,3886.0605688077508
17,3374.188342937332
18,3483.0097537815755
19,3483.45682711356
20,3931.1277362240394
21,3321.8586678526335
22,4021.925371142665
23,3333.7042910755063
24,4990.073839919052
25,3841.2884885500675
26,3623.3150222033373
27,3323.312338799076
28,3734.8654603964637
29,3363.3029583935654
30,4065.9590623627487
31,3374.4496723994366
32,3396.8536135865843
33,3383.4663846648773
34,3574.332424630959
35,3645.7616460036415
36,4863.390517441998
37,4901.742816579243
38,3410.540420219211
39,3375.4869299414668
40,5336.742985870218
41,3590.4904447895046
42,3989.5762304326627
43,4475.39872188185
44,4115.085044700346
45,3414.7982517572273
46,3693.4689239320887
47,3548.422361660011
48,3421.635335461757
49,3911.918858238441
50,3530.0080216600313
51,5065.585428902114

Best,3321.8586678526335
Mean,3766.3386464060764
Std,534.5730414157108
